"订单编号","支付单号","支付详情","买家应付货款","买家应付邮费","买家支付积分","总金额","返点积分","买家实际支付金额","买家实际支付积分","订单状态","买家留言","运送方式","订单创建时间","订单付款时间 ","宝贝标题 ","宝贝种类 ","物流单号 ","物流公司","订单备注","宝贝总数量","店铺Id","店铺名称","订单关闭原因","卖家服务费","买家服务费","发票抬头","是否手机订单","分阶段订单信息","特权订金订单id","是否上传合同照片","是否上传小票","是否代付","定金排名","修改后的sku","异常信息","天猫卡券抵扣","集分宝抵扣","是否是O2O交易","新零售交易类型","新零售导购门店名称","新零售导购门店id","新零售发货门店名称","新零售发货门店id","退款金额","预约门店","确认收货时间","打款商家金额","含应开票给个人的个人红包","是否信用购","体验期结束时间","前N有礼","配送类型","直播返现状态","返现金额","延迟发货赔付金额","新零售成交门店昵称","新零售成交门店id","新零售成交经销商id ","预售订单","发货时间","商家备忘","主订单编号"
="3239138773047060514",="2023030522001167291446681051","支付方式：支付宝，支付单号：2023030522001167291446681051，金额：482.00；","470.00","12.00","0","482.00","0","482.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 13:59:31","2023-03-05 13:59:40","Nike Air Force 1 Low 防滑板鞋 低帮运动休闲鞋 米色 DQ7664-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:73198138951550","中通快递","'p 439  Hyb_6688i","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 02:20:20",="p 439  Hyb_6688i",=""
="3239271146779492208",="2023030522001183861402935923","支付方式：支付宝，支付单号：2023030522001183861402935923，金额：452.00；","440.00","12.00","0","452.00","0","452.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 13:58:52","2023-03-05 13:58:59","Nike耐克 SB Force 58 透气 男女 低帮复古 运动休闲鞋CZ2959-004，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:772019691117531","申通快递","'p 400  啊臭啊臭【木木 03-06 01:19】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 16:50:41",="p 400  啊臭啊臭【木木 03-06 01:19】",=""
="3239109469693263118",="2023030522001151761458915490","支付方式：支付宝，支付单号：2023030522001151761458915490，金额：432.00；","420.00","12.00","0","432.00","0","432.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 13:48:36","2023-03-05 13:53:54","Nike Air Force 1 Low 防滑板鞋 低帮运动休闲鞋 米色 DQ7664-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:73198138964425","中通快递","'p 391  Hyb_6688i","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 02:19:04",="p 391  Hyb_6688i",=""
="1837531598809307569",="2023030522001195121400832714","支付方式：支付宝，支付单号：2023030522001195121400832714，金额：743.00；","731.00","12.00","0","743.00","0","743.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 13:46:25","2023-03-05 14:10:12","Nike耐克 Dunk Low 轻便耐磨 复古运动休闲板鞋 灰白黑DQ0380-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1507230407105","顺丰速运","'null","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 14:39:32",="null",=""
="1837497361708682468",="2023030522001191711427923407","支付方式：支付宝，支付单号：2023030522001191711427923407，金额：692.00；","680.00","12.00","0","692.00","0","692.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 13:45:10","2023-03-05 13:45:38","Nike耐克 Dunk High时尚防滑 高帮运动休闲板鞋 酒红色DD1869-601","1","No:78663706743028","中通快递","'p 640  摇摆","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 17:23:59",="p 640  摇摆",=""
="1836723756851547367",="2023030522001177681450839664","支付方式：支付宝，支付单号：2023030522001177681450839664，金额：332.00；","320.00","12.00","0","332.00","0","332.00","0","买家已付款，等待卖家发货","null","快递","2023-03-05 13:40:09","2023-03-05 13:43:21","Nike Dunk High 耐磨减震舒适防滑 高帮休闲潮流运动鞋DD1398-300，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'J 285 G","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="J 285 G",=""
="3238357788186286762",="2023030522001161281400300772","支付方式：支付宝，支付单号：2023030522001161281400300772，金额：563.00；","551.00","12.00","0","563.00","0","563.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 13:36:08","2023-03-05 13:38:15","Nike Air Force 1 Low 防滑板鞋 低帮运动休闲鞋 米色 DQ7664-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1502906512149","顺丰速运","'C 506 PositiveMax【扬扬 03-06 01:15】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 17:39:47",="C 506 PositiveMax【扬扬 03-06 01:15】",=""
="3239482935882673603",="2023030522001196771400344711","支付方式：支付宝，支付单号：2023030522001196771400344711，金额：575.00；","563.00","12.00","0","575.00","0","575.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 13:27:36","2023-03-05 13:27:46","Nike耐克 Air Force 1 AF1低帮复古 运动休闲板鞋 纯白DH2920-111","1","No:78663629020376","中通快递","'退货575","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 15:01:22",="退货575",=""
="3239184278859974601",="2023030522001160721458397986","支付方式：支付宝，支付单号：2023030522001160721458397986，金额：261.00；","249.00","12.00","0","261.00","0","261.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 13:21:09","2023-03-05 13:21:14","Nike耐克 Waffle One 轻质 运动休闲 低帮舒适 跑步鞋 DJ9640-200，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:YT7088020667100","圆通速递","'p 250  Het.","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 17:28:58",="p 250  Het.",=""
="3239448519507696020",="2023030522001128551429003478","支付方式：支付宝，支付单号：2023030522001128551429003478，金额：550.00；","538.00","12.00","0","550.00","0","550.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 13:14:03","2023-03-05 13:14:15","Air Jordan 1 Mid AJ1中帮复古 运动实战篮球鞋 白蓝色555112-401","1","No:78663629613136","中通快递","'现货 519","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 15:01:22",="现货 519",=""
="3239154074305982752",="2023030522001138221457735619","支付方式：支付宝，支付单号：2023030522001138221457735619，金额：572.00；","560.00","12.00","0","572.00","0","572.00","0","买家已付款，等待卖家发货","null","快递","2023-03-05 13:07:57","2023-03-05 13:08:03","Air Jordan 1 Mid AJ1 中帮耐磨 运动休闲板鞋 黑曜石 554724-411，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3239422203952918813",="2023030522001169121400639990","支付方式：支付宝，支付单号：2023030522001169121400639990，金额：412.00；","400.00","12.00","0","412.00","0","412.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 13:05:00","2023-03-05 13:08:36","Nike耐克 Flight Legacy运动耐磨 高帮复古篮球鞋 红白BQ4212-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:YT2297926216891","圆通速递","'p 370  弟弟【木木 03-06 01:11】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 14:43:35",="p 370  弟弟【木木 03-06 01:11】",=""
="1837471370857531974",="2023030522001146691414869639","支付方式：支付宝，支付单号：2023030522001146691414869639，金额：560.00；","548.00","12.00","0","560.00","0","560.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 12:53:18","2023-03-05 12:53:24","Air Jordan 1 Mid AJ1中帮复古 运动实战篮球鞋 白蓝色555112-401","1","No:78663629920595","中通快递","'现货 519","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 15:01:21",="现货 519",=""
="3239088518401991513",="2023030522001189141400028027","支付方式：支付宝，支付单号：2023030522001189141400028027，金额：0.00；","1040.00","12.00","0","1052.00","0","0.00","0","交易关闭","null","快递","2023-03-05 12:43:31","2023-03-05 12:43:37","Nike耐克 Air Force 1 Low 低帮防滑运动休闲鞋 白金银DH9595-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","1052.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="1837427847718804587",="2023030522001149551421749510","支付方式：支付宝，支付单号：2023030522001149551421749510，金额：650.00；","638.00","12.00","0","650.00","0","650.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 12:34:59","2023-03-05 12:36:47","Nike耐克 Dunk Low 低帮 经典休闲时尚运动板鞋 白橙黑DH9765-003","1","No:78663218406918","中通快递","'现货 565","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 13:59:00",="现货 565",=""
="3238161336908692262",="2023030522001118231404131649","支付方式：支付宝，支付单号：2023030522001118231404131649，金额：476.00；","464.00","12.00","0","476.00","0","476.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 12:20:40","2023-03-05 12:20:46","Nike耐克 Air Force 1 AF1低帮复古 运动休闲板鞋 纯白DH2920-111","1","No:78663217510021","中通快递","'现货 431","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 13:59:00",="现货 431",=""
="3238853293166964521",="2023030522001174911417289598","支付方式：支付宝，支付单号：2023030522001174911417289598，金额：0.00；","542.00","12.00","0","554.00","0","0.00","0","交易关闭","你好，请保证货品是全新国内专柜正品，带原盒和检验员标签，谢谢","快递","2023-03-05 12:09:05","2023-03-05 12:09:13","Air Jordan 1 Mid AJ1中帮复古 运动实战篮球鞋 白蓝色555112-401","1","","null","'null","1","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","554.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3238098948125027619",="2023030522001148171416058603","支付方式：支付宝，支付单号：2023030522001148171416058603，金额：392.00；","380.00","12.00","0","392.00","0","392.00","0","买家已付款，等待卖家发货","null","快递","2023-03-05 11:58:25","2023-03-05 11:58:35","Nike耐克 Court Borough Low 烟灰 白黄 休闲 低帮板鞋839985-104，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3238779925367517320",="2023030522001117841453069162","支付方式：支付宝，支付单号：2023030522001117841453069162，金额：763.00；","751.00","12.00","0","763.00","0","763.00","0","买家已付款，等待卖家发货","null","快递","2023-03-05 11:45:53","2023-03-05 11:46:00","Nike 耐克 Dunk Low 低帮复古 潮流运动休闲板鞋 白黑 DJ6188-101，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3239161455472814744",="2023030522001101341417694629","支付方式：支付宝，支付单号：2023030522001101341417694629，金额：623.00；","611.00","12.00","0","623.00","0","623.00","0","买家已付款，等待卖家发货","null","快递","2023-03-05 11:34:39","2023-03-05 11:34:59","Nike耐克 Dunk Low 轻便耐磨 复古运动休闲板鞋 灰白黑DQ0380-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3239160267386590815",="2023030522001124341419753408","支付方式：支付宝，支付单号：2023030522001124341419753408，金额：0.00；","450.00","12.00","0","462.00","0","0.00","0","交易关闭","null","快递","2023-03-05 11:34:10","2023-03-05 11:35:41","Nike 耐克 Dunk Low 耐磨潮流 复古运动休闲板鞋 白红 DD1391-602，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","462.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="1837318623518313068",="2023030522001152821402068150","支付方式：支付宝，支付单号：2023030522001152821402068150，金额：593.00；","581.00","12.00","0","593.00","0","593.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 11:18:07","2023-03-05 11:18:12","Nike Kyrie 8 欧文8代 男女耐磨 中帮缓震 实战篮球鞋 DC9134-102，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1505853651042","顺丰速运","'J 554 SyF173199510【木木 03-05 21:04】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 15:55:06",="J 554 SyF173199510【木木 03-05 21:04】",=""
="3238675849515338938",="2023030522001193441414596431","支付方式：支付宝，支付单号：2023030522001193441414596431，金额：383.00；","371.00","12.00","0","383.00","0","383.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 11:16:25","2023-03-05 11:16:32","Nike耐克 Zoom Freak 3 EP 黑紫字母哥 训练实战篮球鞋DA0695-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78663264409616","中通快递","'阳 355 Shady【木木 03-06 20:38】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 15:57:53",="阳 355 Shady【木木 03-06 20:38】",=""
="1837285285883044887",="2023030522001149021450357422","支付方式：支付宝，支付单号：2023030522001149021450357422，金额：823.00；","811.00","12.00","0","823.00","0","823.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 11:03:16","2023-03-05 11:03:29","Nike Air Zoom G.T. Cut 2 减震防滑 耐磨实战篮球鞋  DJ6013-001","1","No:SF1508809285350","顺丰速运","'p 769顺  K1109Q【木木 03-06 01:16】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 16:07:32",="p 769顺  K1109Q【木木 03-06 01:16】",=""
="3237833664906902058",="2023030522001187961458576438","支付方式：支付宝，支付单号：2023030522001187961458576438，金额：812.00；","800.00","12.00","0","812.00","0","812.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 10:37:27","2023-03-05 10:43:29","Air Jordan 1 Low AJ1 白绿 低帮 休闲复时尚古篮球鞋 DC0774-132，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:YT2276872804715","圆通速递","'p 787  key求出货工作号","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 16:54:04",="p 787  key求出货工作号",=""
="3238688630429511721",="2023030522001120651436547587","支付方式：支付宝，支付单号：2023030522001120651436547587，金额：1175.00；","1163.00","12.00","0","1175.00","0","1175.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 10:35:14","2023-03-05 10:35:24","Nike耐克 Dunk Low 轻便耐磨 复古运动休闲板鞋 灰白黑DQ0380-001，Nike耐克 Dunk Low 轻便耐磨 复古运动休闲板鞋 灰白黑DQ0380-001，买家秀征集赢奖励！！！ ~ 收货联系客服","3","No:SF1374607084107","顺丰速运","'Y  545   Zcl   DO9581-500  38","3","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 17:38:53",="Y  545   Zcl   DO9581-500  38",=""
="1837246585797210191",="2023030522001156941454611142","支付方式：支付宝，支付单号：2023030522001156941454611142，金额：550.00；","538.00","12.00","0","550.00","0","550.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 10:33:25","2023-03-05 10:33:42","Air Jordan 1 Mid AJ1中帮复古 运动实战篮球鞋 白蓝色555112-401","1","No:78663218173861","中通快递","'现货 519","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 13:58:59",="现货 519",=""
="3237787944701014326",="2023030522001156871417746964","支付方式：支付宝，支付单号：2023030522001156871417746964，金额：602.00；","590.00","12.00","0","602.00","0","602.00","0","买家已付款，等待卖家发货","null","快递","2023-03-05 10:20:17","2023-03-05 10:24:25","Nike耐克 Air Force 1 Low 减震防滑 运动休闲鞋 白灰 CW5909-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'p 555  Cheung","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="p 555  Cheung",=""
="3238478389320044053",="2023030522001152951423924523","支付方式：支付宝，支付单号：2023030522001152951423924523，金额：606.00；","594.00","12.00","0","606.00","0","606.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 10:08:30","2023-03-05 15:31:30","Nike耐克 Kyrie 8运动实战篮球鞋 欧文8 灰黄色 国内版DM0855-500，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78663628709845","中通快递","'退货 576","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 15:01:24",="退货 576",=""
="3237723144224178627",="2023030522001174741402082623","支付方式：支付宝，支付单号：2023030522001174741402082623，金额：772.00；","760.00","12.00","0","772.00","0","772.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 09:51:49","2023-03-05 09:51:55","Air Jordan 1 Low AJ1 白绿 低帮 休闲复时尚古篮球鞋 DC0774-132，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1374601792998","顺丰速运","'阳 717 玩命球鞋【木木 03-06 20:36】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 12:14:51",="阳 717 玩命球鞋【木木 03-06 20:36】",=""
="3238840191903186318",="2023030522001137821457503506","支付方式：支付宝，支付单号：2023030522001137821457503506，金额：603.00；","591.00","12.00","0","603.00","0","603.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 09:41:55","2023-03-05 09:42:02","Nike Air Force1 AF1  白灰棕 低帮 复古潮流休闲板鞋 FB1857-111，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1506892008877","顺丰速运","'Y  555   Bright【木木 03-05 20:44】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 17:50:00",="Y  555   Bright【木木 03-05 20:44】",=""
="1837199535264353875",="2023030522001191151431612426","支付方式：支付宝，支付单号：2023030522001191151431612426，金额：522.00；","510.00","12.00","0","522.00","0","522.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 09:41:27","2023-03-05 09:54:02","Nike Air Force 1 Low AF1白绿 潮流休闲舒适经典板鞋 DX1156-100","1","No:SF1507989644442","顺丰速运","'p 496顺  A  聚乙烯醇批发小吴【木木 03-06 01:41】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 16:14:13",="p 496顺  A  聚乙烯醇批发小吴【木木 03-06 01:41】",=""
="3238406821655089165",="2023030522001195201426089708","支付方式：支付宝，支付单号：2023030522001195201426089708，金额：569.00；","557.00","12.00","0","569.00","0","569.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 09:36:13","2023-03-05 09:36:31","Air Jordan 1 Mid AJ1中帮复古 运动实战篮球鞋 白蓝色555112-401","1","No:78663217804732","中通快递","'现货 519","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 13:58:59",="现货 519",=""
="3238792347133467635",="2023030522001106961451986220","支付方式：支付宝，支付单号：2023030522001106961451986220，金额：0.00；","571.00","12.00","0","583.00","0","0.00","0","交易关闭","null","快递","2023-03-05 09:13:15","2023-03-05 09:13:22","Nike耐克 Dunk Low 防滑耐磨 时尚运动休闲板鞋 浅蓝色DD1503-123","1","","null","'null","1","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","583.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3237619608158983763",="2023030522001188381416555816","支付方式：支付宝，支付单号：2023030522001188381416555816，金额：0.00；","610.00","12.00","0","622.00","0","0.00","0","交易关闭","null","快递","2023-03-05 08:57:24","2023-03-05 08:58:01","Nike Air Force1 AF1  白灰棕 低帮 复古潮流休闲板鞋 FB1857-111，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'Y  580  Tr??t","2","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","622.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="Y  580  Tr??t",=""
="3237595416216784328",="2023030522001177851422255397","支付方式：支付宝，支付单号：2023030522001177851422255397，金额：392.00；","380.00","12.00","0","392.00","0","392.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 08:41:35","2023-03-05 08:42:29","Nike Air Force 1 low AF1 米黄绿 系带 低帮 潮流板鞋DQ5085-111，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:775630102474745","申通快递","'C 360 在心里.【扬扬 03-06 01:14】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 14:40:02",="C 360 在心里.【扬扬 03-06 01:14】",=""
="3238457582306875602",="2023030522001158301436439865","支付方式：支付宝，支付单号：2023030522001158301436439865，金额：332.00；","320.00","12.00","0","332.00","0","332.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 08:38:02","2023-03-05 08:38:15","Nike耐克 Quest 4轻便防滑 低帮耐磨运动跑步鞋 白绿粉DA1106-105，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1649777863321","顺丰速运","'C 308 DA1105-00【扬扬 03-06 01:15】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 15:33:53",="C 308 DA1105-00【扬扬 03-06 01:15】",=""
="3237563340312305901",="2023030522001144921400268480","支付方式：支付宝，支付单号：2023030522001144921400268480，金额：472.00；","460.00","12.00","0","472.00","0","472.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 08:18:50","2023-03-05 08:19:07","Nike耐克 Dunk Low 轻便耐磨 复古运动休闲板鞋 灰白黑DQ0380-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78663300081160","中通快递","'阳 430 摇摆【木木 03-06 20:37】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 17:49:34",="阳 430 摇摆【木木 03-06 20:37】",=""
="3238239529748835803",="2023030522001129211454157979","支付方式：支付宝，支付单号：2023030522001129211454157979，金额：639.00；","627.00","12.00","0","639.00","0","639.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 07:41:26","2023-03-05 16:53:11","Nike耐克 Zoom Rival S 9 专业田径男女系带竞速跑步鞋907564-406，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78663629318714","中通快递","'退货 773","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 15:01:25",="退货 773",=""
